pm2_5,pm10,no2,so2,co,o3,temperature_c,air_quality
28,132,53,22,1.67,42,26.5,Moderate
119,381,97,92,7.18,147,39.0,Unhealthy
28,51,26,31,2.64,49,26.5,Moderate
14,94,33,14,2.83,76,22.8,Moderate
33,187,80,30,5.27,76,23.6,Unhealthy for Sensitive
189,394,147,89,9.64,145,32.0,Very Unhealthy
25,57,73,37,2.73,49,23.6,Moderate
25,98,67,30,3.17,49,25.2,Moderate
285,375,150,100,9.65,127,29.6,Very Unhealthy
18,139,48,11,3.6,29,21.8,Moderate
45,245,88,77,7.15,123,37.6,Unhealthy for Sensitive
8,33,17,17,2.28,42,20.1,Good
30,292,101,57,7.87,127,27.5,Unhealthy
55,241,43,56,4.36,95,28.9,Unhealthy for Sensitive
30,86,58,21,2.66,71,32.0,Moderate
11,24,41,12,0.99,28,18.1,Good
22,113,35,33,4.31,34,20.1,Moderate
6,25,19,9,1.71,15,26.2,Good
33,114,97,73,6.19,100,24.4,Unhealthy for Sensitive
98,317,106,74,7.86,91,28.2,Unhealthy
300,405,137,96,8.43,138,35.3,Very Unhealthy
147,335,123,52,7.23,111,22.5,Unhealthy
300,392,124,95,9.18,140,28.9,Very Unhealthy
9,154,68,35,2.01,56,22.9,Moderate
245,405,145,97,8.82,139,41.4,Very Unhealthy
33,87,28,22,3.8,80,37.1,Moderate
46,308,101,63,6.28,117,33.8,Unhealthy
50,174,55,29,7.55,88,30.9,Unhealthy for Sensitive
113,278,101,100,5.56,98,32.6,Unhealthy
28,19,61,38,2.53,73,31.6,Moderate
52,131,71,51,3.99,85,27.4,Unhealthy for Sensitive
163,432,140,100,9.4,139,35.6,Very Unhealthy
55,222,88,48,6.63,111,33.6,Unhealthy for Sensitive
272,430,144,84,7.81,149,29.6,Very Unhealthy
20,92,55,9,2.46,50,28.0,Moderate
38,161,41,30,1.9,54,26.1,Moderate
32,200,60,60,5.28,93,36.4,Unhealthy for Sensitive
163,255,98,68,6.31,134,33.3,Unhealthy
98,252,109,94,7.46,82,27.6,Unhealthy
227,378,130,90,8.03,131,24.3,Very Unhealthy
226,364,134,89,9.87,135,33.5,Moderate
37,250,107,66,3.98,82,29.1,Unhealthy for Sensitive
50,184,89,54,4.98,89,32.3,Unhealthy for Sensitive
136,408,131,97,8.53,143,39.5,Very Unhealthy
21,64,54,18,2.6,59,28.0,Moderate
57,197,92,41,7.43,104,31.7,Unhealthy for Sensitive
46,323,94,81,6.7,124,35.7,Moderate
48,275,103,34,6.66,63,28.5,Unhealthy for Sensitive
17,346,83,55,7.92,109,28.2,Unhealthy
9,43,27,9,1.16,27,21.6,Good
51,163,94,66,4.95,78,24.2,Unhealthy for Sensitive
246,432,128,93,8.75,147,33.5,Very Unhealthy
223,391,127,94,9.88,127,36.8,Very Unhealthy
58,242,89,58,7.04,150,36.2,Unhealthy
30,187,45,32,2.12,60,29.6,Moderate
26,176,69,14,3.2,71,22.8,Moderate
141,298,126,90,8.22,94,25.8,Unhealthy
123,261,112,72,6.97,124,36.2,Moderate
55,244,74,61,7.35,94,25.9,Unhealthy for Sensitive
39,191,70,66,7.05,112,31.4,Unhealthy for Sensitive
23,40,31,9,1.55,64,24.7,Moderate
11,120,60,27,1.98,85,24.0,Moderate
9,62,41,16,2.96,66,28.4,Moderate
74,273,90,89,8.78,138,38.8,Unhealthy
121,347,120,86,8.98,121,36.9,Unhealthy
267,395,130,95,8.57,149,35.6,Very Unhealthy
174,381,128,100,9.41,150,31.2,Very Unhealthy
33,63,32,42,3.59,62,26.8,Moderate
7,44,92,25,1.93,60,21.4,Moderate
42,218,97,61,3.55,79,26.4,Unhealthy for Sensitive
96,288,113,53,6.8,137,34.6,Unhealthy
6,39,40,2,0.31,36,24.5,Good
32,94,70,19,3.01,56,24.7,Moderate
39,125,34,16,3.54,77,25.9,Moderate
17,140,26,30,1.81,79,25.4,Moderate
47,238,90,52,5.06,78,25.2,Unhealthy for Sensitive
37,133,58,50,7.87,103,36.2,Unhealthy
14,104,46,27,3.3,70,25.3,Moderate
6,75,26,31,2.49,69,26.8,Moderate
74,295,99,95,8.81,131,37.6,Unhealthy
39,267,85,54,4.8,65,20.9,Unhealthy for Sensitive
46,212,69,59,4.86,80,24.9,Unhealthy for Sensitive
237,386,150,96,9.48,141,41.0,Very Unhealthy
28,259,61,39,5.49,97,26.9,Unhealthy for Sensitive
44,225,82,52,6.7,63,24.7,Unhealthy for Sensitive
13,13,7,8,2.43,48,23.4,Good
31,166,72,47,5.18,92,21.7,Unhealthy for Sensitive
49,257,101,44,5.05,82,20.3,Unhealthy for Sensitive
16,59,60,36,3.55,63,15.5,Moderate
152,309,120,78,9.81,122,34.4,Unhealthy
96,286,121,80,10.0,101,25.5,Unhealthy
41,262,86,54,4.89,86,21.4,Unhealthy for Sensitive
45,55,76,20,3.5,43,27.4,Moderate
41,264,53,35,5.16,88,29.0,Unhealthy for Sensitive
9,21,17,14,0.33,11,19.7,Good
256,377,123,85,8.3,134,35.4,Very Unhealthy
147,289,103,65,7.46,122,36.9,Unhealthy
64,316,108,74,7.73,140,34.3,Unhealthy
48,284,121,91,7.84,117,23.7,Unhealthy
269,397,121,88,9.45,137,28.8,Very Unhealthy
121,235,99,56,8.7,126,36.0,Unhealthy
277,394,150,99,9.44,143,33.3,Very Unhealthy
146,260,116,62,6.49,108,30.7,Unhealthy
85,351,101,40,8.32,120,30.2,Unhealthy
50,266,83,63,8.37,90,28.2,Unhealthy
58,185,56,65,5.06,82,25.5,Moderate
198,386,143,100,9.2,125,35.3,Very Unhealthy
36,170,90,55,6.68,76,20.9,Unhealthy for Sensitive
162,325,122,68,6.22,90,26.3,Unhealthy
40,285,91,63,6.37,41,22.1,Unhealthy for Sensitive
52,183,105,50,4.68,84,27.0,Unhealthy for Sensitive
115,260,123,80,7.39,142,32.3,Unhealthy
46,267,98,69,2.95,85,27.0,Unhealthy for Sensitive
80,283,121,78,4.79,136,30.3,Unhealthy
144,281,99,57,7.96,150,26.2,Unhealthy
218,364,114,93,8.38,139,42.8,Very Unhealthy
90,270,94,84,7.76,144,32.8,Unhealthy
107,293,82,100,7.98,127,35.4,Unhealthy for Sensitive
89,241,98,77,7.89,138,35.5,Unhealthy
53,267,105,76,8.9,99,25.8,Unhealthy
29,110,37,11,1.97,63,21.5,Moderate
46,202,85,36,4.35,97,31.2,Unhealthy for Sensitive
30,197,87,25,4.21,118,27.5,Unhealthy
19,148,76,42,3.5,72,24.3,Moderate
51,133,54,46,2.55,70,25.7,Moderate
96,271,115,93,7.01,113,30.3,Unhealthy
92,292,113,71,6.79,104,31.1,Unhealthy
5,18,31,16,2.05,63,18.3,Good
19,102,34,19,2.26,61,26.1,Moderate
227,360,124,92,9.38,138,37.8,Very Unhealthy
5,52,18,10,0.2,35,18.9,Good
127,368,117,68,7.02,91,23.7,Unhealthy
47,219,72,51,6.93,75,27.7,Unhealthy for Sensitive
34,219,77,59,6.72,91,31.1,Unhealthy for Sensitive
255,434,150,96,10.0,147,38.8,Very Unhealthy
5,92,46,49,2.79,72,25.0,Moderate
10,113,63,27,5.24,60,18.2,Moderate
29,141,34,38,1.88,70,25.6,Moderate
45,138,82,47,5.81,70,23.2,Unhealthy for Sensitive
12,165,50,21,2.44,58,29.4,Moderate
109,391,130,87,9.71,126,31.2,Very Unhealthy
266,351,144,80,9.05,149,39.2,Very Unhealthy
25,66,52,38,2.54,55,27.9,Moderate
122,312,102,82,6.28,107,25.1,Unhealthy
35,199,89,58,6.28,92,34.7,Unhealthy for Sensitive
43,249,86,29,3.25,65,31.2,Unhealthy for Sensitive
276,374,135,94,8.6,131,28.4,Very Unhealthy
38,139,38,21,2.08,65,26.2,Moderate
36,196,82,50,3.54,84,27.9,Unhealthy for Sensitive
9,18,48,29,2.86,55,26.5,Moderate
41,184,64,41,5.63,95,26.2,Unhealthy for Sensitive
13,104,53,32,3.47,61,27.5,Moderate
40,262,61,59,4.98,76,21.6,Unhealthy for Sensitive
40,220,90,49,5.72,105,30.1,Unhealthy for Sensitive
52,232,94,55,4.95,78,33.6,Unhealthy for Sensitive
146,338,122,61,7.81,118,23.4,Unhealthy
125,297,146,83,10.0,138,36.3,Very Unhealthy
34,182,85,32,4.27,129,31.0,Unhealthy for Sensitive
267,450,125,97,8.67,137,37.6,Very Unhealthy
29,143,62,54,5.42,76,24.9,Unhealthy for Sensitive
15,84,34,36,1.77,41,15.5,Moderate
82,296,119,83,6.75,108,33.4,Unhealthy
41,219,87,47,4.29,99,35.4,Unhealthy for Sensitive
57,356,123,69,6.42,116,34.3,Unhealthy
29,213,73,79,3.56,115,30.8,Unhealthy for Sensitive
167,271,116,89,8.75,96,34.1,Unhealthy
114,282,131,70,7.51,100,27.4,Unhealthy
5,30,12,11,0.7,21,22.6,Unhealthy
35,148,74,39,4.94,63,18.1,Unhealthy for Sensitive
146,272,119,65,7.67,91,22.2,Unhealthy
124,303,125,67,8.07,130,28.6,Unhealthy
11,29,25,16,2.02,11,19.3,Good
27,143,55,27,2.28,37,25.4,Moderate
156,321,148,90,8.89,140,35.6,Unhealthy for Sensitive
54,205,82,45,4.87,106,26.7,Unhealthy for Sensitive
5,146,42,5,2.46,57,24.9,Moderate
23,35,47,27,4.06,37,26.3,Moderate
21,169,24,22,3.84,63,27.8,Unhealthy for Sensitive
19,83,41,14,4.33,36,25.3,Moderate
236,355,136,90,8.88,134,36.3,Very Unhealthy
11,10,29,19,0.2,17,20.7,Good
41,203,52,44,4.48,81,23.5,Unhealthy for Sensitive
112,320,111,85,7.63,137,33.1,Unhealthy
102,336,109,76,9.27,119,24.1,Unhealthy
28,163,59,40,6.46,79,24.7,Unhealthy for Sensitive
11,10,48,9,0.44,37,20.1,Good
20,68,22,24,3.72,84,28.6,Moderate
50,202,81,41,7.0,70,24.4,Unhealthy for Sensitive
121,267,134,62,7.12,125,31.8,Unhealthy
14,10,44,27,4.3,83,26.5,Moderate
106,343,92,72,8.79,150,34.2,Moderate
57,263,99,86,6.02,100,30.3,Unhealthy
22,53,83,22,1.92,44,23.5,Moderate
267,450,136,93,8.94,143,36.3,Very Unhealthy
227,410,137,89,8.9,133,26.5,Very Unhealthy
8,40,17,16,0.82,22,16.6,Good
175,449,125,96,8.49,138,38.0,Unhealthy
44,160,68,42,5.55,73,22.5,Unhealthy for Sensitive
99,299,104,88,6.58,96,29.9,Unhealthy
17,172,73,23,3.2,59,18.1,Moderate
36,76,21,18,3.4,59,23.5,Moderate
115,307,118,77,8.35,111,30.4,Unhealthy
33,214,57,65,5.48,109,23.7,Unhealthy for Sensitive
42,156,89,45,5.69,110,31.1,Unhealthy for Sensitive
224,408,148,100,10.0,147,37.4,Very Unhealthy
32,130,21,28,3.08,58,23.7,Moderate
24,149,63,30,2.54,65,24.2,Moderate
115,269,103,92,7.12,102,32.2,Unhealthy
167,434,143,94,8.62,147,36.1,Very Unhealthy
124,436,146,98,8.48,139,34.9,Very Unhealthy
278,450,149,95,9.95,144,36.9,Very Unhealthy
136,450,131,98,8.29,150,34.1,Very Unhealthy
24,135,56,41,3.19,46,20.4,Unhealthy for Sensitive
39,287,121,61,7.14,103,36.7,Unhealthy
67,191,102,57,6.66,86,23.0,Very Unhealthy
44,265,83,46,4.23,95,31.5,Unhealthy for Sensitive
184,422,139,96,9.63,136,31.1,Very Unhealthy
130,263,134,75,7.45,100,34.8,Unhealthy
31,221,84,67,4.69,101,26.6,Unhealthy for Sensitive
52,255,115,76,8.1,150,40.6,Unhealthy
231,418,126,84,9.5,142,27.6,Very Unhealthy
46,226,104,13,7.43,120,37.0,Unhealthy
32,131,47,39,1.24,89,28.1,Moderate
209,357,150,100,9.51,133,34.2,Very Unhealthy
238,413,141,92,10.0,150,42.8,Very Unhealthy
21,89,61,46,2.95,40,15.0,Moderate
25,107,57,52,5.98,89,27.1,Unhealthy for Sensitive
221,426,146,99,9.85,135,39.3,Very Unhealthy
101,295,117,88,6.96,109,29.0,Unhealthy
48,238,101,52,6.36,107,40.9,Unhealthy for Sensitive
52,237,97,75,9.83,136,38.5,Unhealthy
19,129,50,16,4.09,78,29.5,Moderate
21,158,70,27,4.5,56,27.9,Moderate
24,88,67,38,2.01,55,28.3,Moderate
33,61,70,48,3.14,67,21.4,Moderate
58,169,63,43,5.31,81,29.3,Unhealthy for Sensitive
140,375,147,87,8.63,134,35.3,Very Unhealthy
19,108,58,16,3.74,74,23.0,Moderate
33,185,85,70,6.56,93,30.9,Unhealthy for Sensitive
24,141,19,31,2.91,45,24.1,Moderate
31,147,81,46,7.72,105,31.2,Moderate
41,156,57,28,2.24,51,25.8,Moderate
37,243,94,52,6.12,85,31.9,Unhealthy for Sensitive
166,385,122,93,9.9,140,35.5,Very Unhealthy
41,264,54,45,3.96,84,22.0,Unhealthy for Sensitive
55,365,109,76,8.66,99,27.2,Unhealthy
112,358,93,59,8.68,125,31.5,Unhealthy
50,213,66,52,4.41,84,24.7,Unhealthy for Sensitive
126,276,101,76,6.39,111,32.2,Unhealthy
16,284,99,82,6.6,112,33.3,Unhealthy
71,268,97,90,8.48,142,42.6,Unhealthy
27,121,60,28,4.41,64,30.2,Unhealthy for Sensitive
39,228,106,72,7.83,115,33.6,Unhealthy
22,98,63,36,2.97,70,22.1,Moderate
249,365,144,94,10.0,150,33.5,Very Unhealthy
45,146,100,53,4.83,115,36.7,Unhealthy for Sensitive
197,382,129,93,10.0,140,30.5,Very Unhealthy
76,329,125,62,7.41,123,39.1,Moderate
50,176,69,30,6.73,74,27.7,Unhealthy for Sensitive
50,268,94,24,6.01,103,27.3,Unhealthy for Sensitive
13,75,18,36,2.12,36,27.8,Moderate
14,103,58,35,4.15,50,23.0,Moderate
77,319,112,87,8.22,141,40.1,Unhealthy
177,245,118,83,7.98,116,29.7,Unhealthy
97,384,97,77,6.73,133,30.9,Unhealthy
32,173,32,34,2.93,52,24.5,Very Unhealthy
47,237,92,40,6.13,103,22.6,Unhealthy for Sensitive
29,166,68,45,4.95,74,27.3,Unhealthy for Sensitive
264,422,144,89,9.7,124,33.0,Very Unhealthy
31,112,67,17,3.88,48,24.9,Moderate
300,419,149,100,10.0,150,39.2,Very Unhealthy
36,256,67,43,5.96,73,26.2,Unhealthy
110,268,125,77,4.53,118,33.0,Unhealthy
162,266,131,93,7.39,123,29.9,Unhealthy
60,242,73,62,9.31,76,18.8,Unhealthy for Sensitive
37,203,89,47,7.04,102,25.7,Unhealthy for Sensitive
146,335,104,77,8.23,145,33.8,Unhealthy
9,26,12,10,2.34,10,15.0,Good
109,381,123,90,7.02,139,33.7,Unhealthy
17,83,33,22,3.83,82,29.7,Moderate
5,80,73,38,4.33,61,24.5,Moderate
15,139,66,23,3.98,87,20.8,Moderate
133,225,112,80,8.12,108,33.3,Unhealthy
44,191,84,48,5.04,82,27.9,Unhealthy for Sensitive
45,145,97,47,3.38,86,31.0,Unhealthy for Sensitive
51,203,111,71,3.95,109,22.7,Unhealthy for Sensitive
8,32,13,5,2.43,26,20.2,Good
153,326,134,95,7.21,126,31.7,Unhealthy
182,421,144,86,10.0,134,34.8,Very Unhealthy
78,242,110,70,9.07,130,27.4,Unhealthy
29,228,48,39,2.76,51,17.0,Moderate
7,33,60,21,3.59,91,26.4,Moderate
46,232,79,46,7.25,111,34.1,Unhealthy for Sensitive
128,272,120,87,8.07,108,32.7,Unhealthy
204,395,137,100,10.0,140,33.7,Very Unhealthy
240,394,132,98,8.72,138,30.9,Very Unhealthy
44,356,107,72,7.3,147,38.0,Unhealthy
47,239,84,58,7.65,83,25.7,Unhealthy for Sensitive
253,355,147,96,9.4,142,33.9,Very Unhealthy
177,312,133,76,6.96,150,37.2,Unhealthy
300,450,141,93,9.39,150,36.6,Very Unhealthy
148,405,140,100,9.61,129,35.3,Very Unhealthy
6,43,18,9,1.26,47,24.7,Good
97,225,114,85,6.65,122,29.6,Unhealthy
44,248,80,58,4.98,94,33.0,Unhealthy for Sensitive
40,121,51,52,7.17,114,37.6,Unhealthy for Sensitive
147,304,99,57,7.97,96,37.3,Unhealthy
34,105,68,21,3.11,48,19.2,Very Unhealthy
11,10,29,3,1.47,93,24.6,Moderate
55,254,80,66,6.79,94,27.8,Unhealthy for Sensitive
56,218,65,44,7.63,102,23.8,Unhealthy for Sensitive
53,208,91,55,5.02,88,30.0,Unhealthy for Sensitive
8,93,17,26,3.82,54,23.0,Moderate
242,352,136,95,10.0,139,33.4,Very Unhealthy
82,297,129,49,7.56,129,32.7,Unhealthy
122,307,125,61,8.35,130,34.5,Unhealthy
77,382,103,81,9.01,89,34.2,Unhealthy
26,56,90,28,2.4,58,22.8,Unhealthy
131,311,145,77,7.43,135,30.2,Unhealthy
146,248,106,70,7.6,118,33.5,Unhealthy
30,225,80,41,5.46,93,36.2,Unhealthy for Sensitive
207,423,134,100,9.14,141,29.5,Very Unhealthy
57,255,90,37,3.84,102,27.2,Unhealthy for Sensitive
14,91,38,29,0.49,57,24.7,Moderate
8,30,30,2,1.71,51,30.2,Good
169,450,145,98,9.91,134,31.8,Very Unhealthy
239,433,135,85,9.19,143,37.3,Very Unhealthy
234,450,139,93,8.57,136,35.3,Very Unhealthy
56,180,98,33,6.58,84,30.0,Unhealthy for Sensitive
253,450,143,100,9.71,138,36.7,Very Unhealthy
41,126,74,40,4.01,100,31.2,Unhealthy for Sensitive
34,279,97,51,5.07,67,22.2,Very Unhealthy
106,235,130,78,6.67,105,29.4,Unhealthy
34,239,73,38,5.56,111,30.6,Unhealthy for Sensitive
287,450,150,83,9.56,141,38.4,Very Unhealthy
49,131,78,62,5.17,74,23.6,Unhealthy for Sensitive
36,182,90,63,3.25,92,30.1,Unhealthy for Sensitive
141,239,111,92,8.98,120,35.4,Unhealthy
259,450,129,96,8.7,131,38.2,Very Unhealthy
51,172,82,32,4.29,79,21.2,Unhealthy for Sensitive
36,202,83,57,6.84,74,27.1,Unhealthy for Sensitive
65,183,80,49,4.32,96,27.5,Unhealthy for Sensitive
55,115,96,53,5.59,109,25.4,Unhealthy for Sensitive
133,375,110,83,8.63,107,30.3,Unhealthy
300,450,130,98,9.66,133,33.3,Very Unhealthy
164,361,133,93,9.44,150,30.4,Very Unhealthy
69,369,86,83,8.61,115,27.7,Good
18,92,13,22,2.53,79,29.0,Moderate
115,319,111,78,8.16,119,26.1,Unhealthy
20,175,51,28,2.29,79,28.2,Moderate
54,254,134,69,7.44,119,36.1,Unhealthy
20,168,46,22,3.84,31,17.7,Moderate
57,251,62,58,4.05,76,23.7,Unhealthy for Sensitive
75,388,104,63,7.48,142,34.9,Unhealthy
32,138,41,29,2.67,48,21.7,Moderate
129,343,106,76,7.5,140,31.3,Unhealthy
25,166,73,41,7.35,95,28.5,Unhealthy for Sensitive
100,311,103,86,7.86,138,37.9,Unhealthy
