Vehicle_Type,Fuel_Type,Emission_Standard,CO,HC,NOx,PM,O2,Lambda,Issue
Car,Petrol,BS4,0.48,415,0.14,0.004,0.57,1.09,EGR Valve Problem
Car,Petrol,BS6,0.57,461,0.12,0.008,0.7,1.13,Spark Plug Issue
Car,Petrol,BS4,0.89,483,0.11,0.011,0.2,0.83,Rich Fuel Mixture
Car,Petrol,BS4,0.37,429,0.2,0.025,0.77,0.89,Turbocharger Issue
Car,Diesel,BS6,0.52,490,0.14,0.014,0.67,1.08,EGR Valve Problem
Car,Diesel,BS6,0.52,245,0.18,0.011,0.44,1.05,EGR Valve Problem
Car,Diesel,BS4,0.52,637,0.1,0.005,0.6,1.05,Engine Misfire
Car,Diesel,BS6,0.62,692,0.13,0.006,0.6,1.2,Spark Plug Issue
Car,Diesel,BS4,0.31,188,0.03,0.003,0.6,1.05,Normal
Car,Petrol,BS4,0.66,296,0.17,0.008,0.45,1.0,DPF Clogging
Car,Diesel,BS4,0.49,201,0.2,0.004,0.33,1.13,DPF Clogging
Car,Diesel,BS6,0.44,400,0.15,0.014,0.48,1.03,Injector Problem
Car,Petrol,BS4,0.65,433,0.17,0.023,0.55,0.96,Turbocharger Issue
Car,Diesel,BS6,0.61,483,0.09,0.012,0.38,0.91,DPF Clogging
Car,Petrol,BS4,0.6,626,0.13,0.003,0.67,1.2,Engine Misfire
Car,Petrol,BS4,0.62,430,0.15,0.024,0.49,1.0,Turbocharger Issue
Car,Petrol,BS4,0.47,420,0.1,0.021,0.62,0.87,Injector Problem
Car,Petrol,BS6,0.35,138,0.03,0.004,0.42,0.96,Normal
Car,Diesel,BS6,0.1,45,0.03,0.002,0.58,1.05,Normal
Car,Petrol,BS6,0.68,242,0.19,0.005,0.44,1.05,DPF Clogging
Car,Petrol,BS6,0.82,443,0.08,0.006,0.44,0.73,Fuel Injector Issue
Car,Petrol,BS6,0.67,373,0.22,0.012,0.76,0.86,Injector Problem
Car,Petrol,BS4,0.56,491,0.22,0.023,0.48,1.06,Injector Problem
Car,Petrol,BS4,0.79,647,0.08,0.007,0.86,1.2,Engine Misfire
Car,Petrol,BS6,0.58,375,0.21,0.017,0.73,1.05,Turbocharger Issue
Car,Petrol,BS4,0.3,621,0.14,0.008,0.62,1.02,Engine Misfire
Car,Petrol,BS4,0.74,547,0.12,0.006,0.58,1.05,Engine Misfire
Car,Petrol,BS4,0.51,533,0.16,0.011,0.43,0.77,Rich Fuel Mixture
Car,Diesel,BS6,0.58,217,0.12,0.012,0.59,1.17,EGR Valve Problem
Car,Petrol,BS4,0.43,461,0.1,0.008,0.5,1.0,Engine Misfire
Car,Petrol,BS6,0.13,135,0.03,0.002,0.38,1.04,Normal
Car,Diesel,BS4,0.59,216,0.12,0.006,0.69,0.97,EGR Valve Problem
Car,Petrol,BS6,0.61,213,0.1,0.01,0.44,1.04,DPF Clogging
Car,Petrol,BS6,0.6,230,0.16,0.013,0.76,1.0,Air Filter Clogged
Car,Petrol,BS6,0.56,435,0.17,0.012,0.47,1.03,EGR Valve Problem
Car,Petrol,BS6,0.62,388,0.08,0.004,0.4,1.19,DPF Clogging
Car,Petrol,BS4,0.47,362,0.16,0.018,0.78,0.87,Injector Problem
Car,Petrol,BS6,0.66,588,0.11,0.003,0.66,1.03,Spark Plug Issue
Car,Diesel,BS4,0.57,435,0.11,0.005,0.9,1.22,Engine Misfire
Car,Diesel,BS4,0.14,121,0.03,0.002,0.54,1.03,Normal
Car,Diesel,BS4,0.2,63,0.03,0.003,0.49,1.03,Normal
Car,Petrol,BS6,0.37,553,0.11,0.005,0.58,1.12,Engine Misfire
Car,Diesel,BS4,0.39,470,0.13,0.009,0.82,1.1,Engine Misfire
Car,Petrol,BS4,0.13,140,0.01,0.002,0.57,0.96,Normal
Car,Diesel,BS6,0.32,628,0.07,0.005,0.57,1.15,Engine Misfire
Car,Petrol,BS4,0.44,292,0.09,0.012,0.45,0.91,Air Filter Clogged
Car,Petrol,BS6,0.59,485,0.18,0.021,0.47,0.88,Injector Problem
Car,Petrol,BS6,0.47,380,0.11,0.003,0.64,1.18,Air Filter Clogged
Car,Diesel,BS4,0.51,332,0.12,0.021,0.77,1.04,Turbocharger Issue
Car,Diesel,BS6,0.55,434,0.07,0.011,0.82,1.2,Engine Misfire
Car,Diesel,BS6,0.55,331,0.17,0.012,0.56,1.15,Air Filter Clogged
Car,Diesel,BS4,0.32,542,0.12,0.001,0.7,1.0,Engine Misfire
Car,Diesel,BS4,0.6,386,0.11,0.012,0.3,0.8,Fuel Injector Issue
Car,Petrol,BS6,0.4,133,0.01,0.003,0.56,1.05,Normal
Car,Diesel,BS6,0.56,451,0.11,0.007,0.62,1.02,Engine Misfire
Car,Diesel,BS6,0.54,408,0.19,0.015,0.41,1.1,DPF Clogging
Car,Diesel,BS4,0.67,277,0.16,0.014,0.58,0.95,DPF Clogging
Car,Diesel,BS4,0.73,539,0.07,0.007,0.87,1.01,Spark Plug Issue
Car,Petrol,BS6,0.74,500,0.12,0.011,0.46,0.81,Rich Fuel Mixture
Car,Diesel,BS6,0.3,176,0.04,0.003,0.54,0.97,Normal
Car,Diesel,BS4,0.2,176,0.02,0.003,0.5,1.01,Normal
Car,Diesel,BS6,0.52,455,0.14,0.013,0.7,1.02,EGR Valve Problem
Car,Diesel,BS4,0.24,127,0.01,0.003,0.64,1.03,Normal
Car,Diesel,BS4,0.46,499,0.07,0.008,0.68,1.2,Spark Plug Issue
Car,Diesel,BS6,0.61,228,0.16,0.014,0.33,1.01,Air Filter Clogged
Car,Diesel,BS4,0.66,644,0.07,0.008,0.83,1.2,Engine Misfire
Car,Petrol,BS4,0.58,385,0.14,0.006,0.32,1.02,Air Filter Clogged
Car,Petrol,BS6,0.43,431,0.19,0.024,0.49,1.06,Turbocharger Issue
Car,Diesel,BS4,0.45,322,0.12,0.025,0.58,0.95,Turbocharger Issue
Car,Diesel,BS4,0.51,456,0.1,0.013,0.42,0.91,Air Filter Clogged
Car,Petrol,BS4,0.46,368,0.2,0.011,0.33,1.04,EGR Valve Problem
Car,Petrol,BS6,0.27,51,0.01,0.003,0.36,1.04,Normal
Car,Diesel,BS6,0.54,447,0.13,0.007,0.25,0.86,Fuel Injector Issue
Car,Diesel,BS4,0.69,523,0.15,0.009,0.78,1.2,Engine Misfire
Car,Diesel,BS4,0.67,411,0.23,0.016,0.7,0.97,Injector Problem
Car,Petrol,BS6,0.6,573,0.08,0.008,0.34,0.72,Fuel Injector Issue
Car,Petrol,BS6,0.61,658,0.13,0.009,0.75,1.01,Spark Plug Issue
Car,Diesel,BS6,0.6,472,0.15,0.024,0.61,1.05,Turbocharger Issue
Car,Petrol,BS4,0.53,397,0.11,0.013,0.74,1.17,EGR Valve Problem
Car,Petrol,BS4,0.34,584,0.14,0.007,0.55,1.2,Spark Plug Issue
Car,Petrol,BS6,0.17,103,0.03,0.001,0.54,1.04,Normal
Car,Petrol,BS4,0.46,337,0.14,0.01,0.33,0.97,Air Filter Clogged
Car,Diesel,BS6,0.58,446,0.1,0.015,0.49,0.8,Fuel Injector Issue
Car,Diesel,BS4,0.51,342,0.2,0.004,0.33,1.11,Air Filter Clogged
Car,Petrol,BS4,0.42,395,0.21,0.012,0.46,1.06,Turbocharger Issue
Car,Petrol,BS4,0.72,481,0.08,0.004,0.85,1.2,Spark Plug Issue
Car,Diesel,BS6,0.76,505,0.11,0.006,0.83,1.03,Spark Plug Issue
Car,Diesel,BS4,0.59,267,0.15,0.019,0.46,1.06,Turbocharger Issue
Car,Petrol,BS6,0.67,439,0.16,0.013,0.77,1.08,DPF Clogging
Car,Diesel,BS6,0.68,442,0.17,0.023,0.42,0.96,Injector Problem
Car,Petrol,BS4,0.65,305,0.12,0.006,0.45,0.81,Fuel Injector Issue
Car,Diesel,BS4,0.36,569,0.15,0.003,0.72,1.15,Spark Plug Issue
Car,Diesel,BS4,0.58,584,0.16,0.015,0.43,0.8,Rich Fuel Mixture
Car,Diesel,BS4,0.85,332,0.1,0.019,0.47,0.9,Fuel Injector Issue
Car,Diesel,BS4,0.69,437,0.1,0.021,0.69,1.03,Injector Problem
Car,Diesel,BS6,0.58,465,0.17,0.012,0.35,0.92,Fuel Injector Issue
Car,Diesel,BS6,0.42,475,0.15,0.009,0.52,1.01,Air Filter Clogged
Car,Petrol,BS4,0.53,308,0.1,0.005,0.42,0.97,Air Filter Clogged
Car,Petrol,BS6,0.65,300,0.16,0.017,0.57,0.99,Turbocharger Issue
Car,Petrol,BS6,0.55,309,0.16,0.018,0.22,0.75,Fuel Injector Issue
Car,Diesel,BS6,0.69,283,0.08,0.005,0.57,1.02,DPF Clogging
Car,Petrol,BS4,0.69,506,0.14,0.016,0.41,0.87,Rich Fuel Mixture
Car,Diesel,BS6,0.45,411,0.24,0.024,0.48,0.86,Turbocharger Issue
Car,Diesel,BS6,0.78,681,0.12,0.002,0.64,1.1,Engine Misfire
Car,Diesel,BS4,0.46,675,0.07,0.005,0.62,1.12,Engine Misfire
Car,Petrol,BS4,0.4,521,0.08,0.004,0.52,1.2,Spark Plug Issue
Car,Petrol,BS6,0.58,668,0.05,0.003,0.57,1.17,Spark Plug Issue
Car,Diesel,BS6,0.35,665,0.07,0.007,0.75,1.17,Spark Plug Issue
Car,Petrol,BS6,0.63,347,0.13,0.009,0.42,1.08,EGR Valve Problem
Car,Diesel,BS6,0.69,353,0.14,0.01,0.2,0.89,Fuel Injector Issue
Car,Petrol,BS6,0.64,451,0.1,0.015,0.58,1.08,Air Filter Clogged
Car,Petrol,BS4,0.4,642,0.05,0.003,0.79,1.2,Spark Plug Issue
Car,Petrol,BS6,0.53,343,0.1,0.013,0.64,0.92,DPF Clogging
Car,Petrol,BS6,0.68,238,0.15,0.01,0.52,1.04,EGR Valve Problem
Car,Diesel,BS6,0.57,386,0.11,0.014,0.6,1.06,Turbocharger Issue
Car,Diesel,BS6,0.42,317,0.18,0.024,0.5,0.87,Turbocharger Issue
Car,Petrol,BS6,0.85,396,0.14,0.012,0.24,0.84,Fuel Injector Issue
Car,Diesel,BS4,0.56,430,0.17,0.012,0.43,0.99,DPF Clogging
Car,Diesel,BS6,0.42,421,0.18,0.005,0.49,1.05,EGR Valve Problem
Car,Petrol,BS4,0.51,320,0.18,0.012,0.61,0.95,Injector Problem
Car,Petrol,BS6,0.54,344,0.14,0.01,0.22,0.81,Rich Fuel Mixture
Car,Diesel,BS4,0.65,281,0.12,0.007,0.3,0.93,EGR Valve Problem
Car,Petrol,BS4,0.57,415,0.11,0.012,0.47,1.14,Air Filter Clogged
Car,Diesel,BS4,0.71,527,0.09,0.006,0.25,0.8,Rich Fuel Mixture
Car,Diesel,BS4,0.69,329,0.19,0.01,0.75,0.95,DPF Clogging
Car,Diesel,BS6,0.41,386,0.17,0.011,0.67,1.05,EGR Valve Problem
Car,Petrol,BS4,0.67,342,0.1,0.006,0.33,0.94,Air Filter Clogged
Car,Diesel,BS4,0.64,347,0.11,0.018,0.56,0.91,Injector Problem
Car,Petrol,BS4,0.18,149,0.02,0.002,0.6,1.01,Normal
Car,Diesel,BS4,0.52,692,0.12,0.003,0.54,1.11,Spark Plug Issue
Car,Diesel,BS4,0.82,557,0.09,0.009,0.45,0.94,Rich Fuel Mixture
Car,Petrol,BS6,0.51,338,0.14,0.013,0.4,0.8,Rich Fuel Mixture
Car,Petrol,BS4,0.64,421,0.07,0.003,0.79,1.19,Spark Plug Issue
Car,Petrol,BS6,0.62,206,0.08,0.011,0.47,1.11,DPF Clogging
Car,Diesel,BS4,0.7,417,0.13,0.007,0.65,1.16,EGR Valve Problem
Car,Petrol,BS4,0.31,172,0.05,0.003,0.44,1.05,Normal
Car,Diesel,BS4,0.72,489,0.18,0.014,0.53,1.01,Injector Problem
Car,Petrol,BS6,0.12,181,0.05,0.002,0.43,0.98,Normal
Car,Diesel,BS6,0.71,330,0.09,0.006,0.41,1.01,EGR Valve Problem
Car,Petrol,BS6,0.21,162,0.04,0.003,0.45,0.96,Normal
Car,Petrol,BS4,0.7,316,0.19,0.005,0.4,1.11,DPF Clogging
Car,Diesel,BS6,0.6,425,0.08,0.006,0.4,0.85,Fuel Injector Issue
Car,Diesel,BS6,0.65,440,0.19,0.022,0.72,0.99,Injector Problem
Car,Diesel,BS4,0.42,256,0.13,0.004,0.4,1.15,Air Filter Clogged
Car,Diesel,BS6,0.64,611,0.13,0.006,0.82,1.2,Spark Plug Issue
Car,Petrol,BS4,0.52,393,0.15,0.017,0.76,0.92,Turbocharger Issue
Car,Diesel,BS6,0.53,337,0.16,0.01,0.69,1.18,DPF Clogging
Car,Petrol,BS4,0.89,384,0.17,0.017,0.29,0.95,Fuel Injector Issue
Car,Diesel,BS6,0.78,372,0.11,0.014,0.42,0.9,Fuel Injector Issue
Car,Diesel,BS4,0.24,90,0.04,0.001,0.55,0.97,Normal
Car,Diesel,BS4,0.53,441,0.09,0.004,0.71,1.18,Spark Plug Issue
Car,Diesel,BS6,0.62,359,0.12,0.02,0.51,1.0,Injector Problem
Car,Diesel,BS6,0.82,488,0.14,0.008,0.44,0.8,Rich Fuel Mixture
Car,Diesel,BS6,0.51,314,0.12,0.013,0.48,1.1,EGR Valve Problem
Car,Petrol,BS4,0.48,301,0.13,0.015,0.64,0.93,Turbocharger Issue
Car,Diesel,BS6,0.66,428,0.2,0.024,0.69,0.98,Injector Problem
Car,Petrol,BS6,0.57,549,0.16,0.016,0.38,0.72,Rich Fuel Mixture
Car,Petrol,BS4,0.45,295,0.2,0.013,0.54,0.97,Injector Problem
Car,Petrol,BS4,0.34,601,0.11,0.008,0.68,1.2,Engine Misfire
Car,Diesel,BS4,0.5,256,0.18,0.005,0.46,0.93,EGR Valve Problem
Car,Diesel,BS4,0.49,361,0.18,0.015,0.63,0.92,Injector Problem
Car,Diesel,BS6,0.52,231,0.13,0.009,0.46,1.0,EGR Valve Problem
Car,Diesel,BS4,0.43,434,0.24,0.019,0.73,0.86,Injector Problem
Car,Diesel,BS4,0.56,423,0.18,0.003,0.46,1.01,EGR Valve Problem
Car,Diesel,BS6,0.5,299,0.2,0.014,0.46,0.96,Turbocharger Issue
Car,Petrol,BS6,0.09,188,0.03,0.003,0.31,1.02,Normal
Car,Petrol,BS4,0.57,344,0.22,0.01,0.47,0.99,Injector Problem
Car,Diesel,BS6,0.66,567,0.11,0.004,0.91,1.2,Spark Plug Issue
Car,Petrol,BS4,0.3,480,0.07,0.002,0.88,1.09,Spark Plug Issue
Car,Petrol,BS6,0.66,462,0.24,0.018,0.45,0.94,Injector Problem
Car,Petrol,BS4,0.54,277,0.1,0.004,0.47,0.98,DPF Clogging
Car,Diesel,BS6,0.54,338,0.19,0.024,0.79,1.04,Injector Problem
Car,Petrol,BS4,0.8,569,0.09,0.009,0.43,0.8,Rich Fuel Mixture
Car,Diesel,BS4,0.27,70,0.04,0.002,0.41,0.99,Normal
Car,Diesel,BS4,0.54,490,0.21,0.024,0.76,0.96,Turbocharger Issue
Car,Petrol,BS4,0.55,316,0.19,0.016,0.78,0.94,Turbocharger Issue
Car,Petrol,BS6,0.54,487,0.09,0.002,0.63,1.3,Spark Plug Issue
Car,Petrol,BS6,0.84,493,0.08,0.014,0.39,0.93,Rich Fuel Mixture
Car,Petrol,BS4,0.69,435,0.11,0.01,0.71,0.98,DPF Clogging
Car,Diesel,BS4,0.51,432,0.14,0.018,0.24,0.84,Rich Fuel Mixture
Car,Petrol,BS4,0.82,557,0.06,0.007,0.57,1.2,Spark Plug Issue
Car,Petrol,BS6,0.7,333,0.18,0.019,0.68,0.87,Injector Problem
Car,Petrol,BS4,0.62,413,0.12,0.013,0.58,1.15,DPF Clogging
Car,Diesel,BS4,0.55,289,0.14,0.011,0.66,0.95,Injector Problem
Car,Diesel,BS4,0.68,384,0.2,0.018,0.76,0.86,Injector Problem
Car,Diesel,BS6,0.68,395,0.16,0.021,0.56,0.94,Turbocharger Issue
Car,Diesel,BS6,0.43,270,0.16,0.012,0.54,1.0,Turbocharger Issue
Car,Diesel,BS6,0.58,216,0.18,0.01,0.6,1.15,DPF Clogging
Car,Diesel,BS4,0.57,440,0.15,0.025,0.72,0.97,Injector Problem
Car,Petrol,BS6,0.47,243,0.15,0.007,0.45,1.19,Air Filter Clogged
Car,Diesel,BS6,0.85,324,0.11,0.013,0.33,0.83,Rich Fuel Mixture
Car,Diesel,BS6,0.75,457,0.05,0.006,0.53,1.15,Engine Misfire
Car,Petrol,BS4,0.61,367,0.18,0.004,0.75,1.03,Air Filter Clogged
Car,Diesel,BS6,0.55,251,0.23,0.018,0.56,1.01,Turbocharger Issue
Car,Diesel,BS4,0.61,271,0.14,0.006,0.79,1.13,EGR Valve Problem
Car,Diesel,BS6,0.56,433,0.21,0.02,0.68,0.94,Turbocharger Issue
Car,Petrol,BS6,0.52,421,0.18,0.012,0.68,1.02,EGR Valve Problem
Car,Petrol,BS6,0.43,418,0.17,0.002,0.46,0.96,EGR Valve Problem
Car,Petrol,BS6,0.49,265,0.13,0.021,0.67,0.95,Injector Problem
Car,Petrol,BS6,0.76,507,0.14,0.009,0.83,1.26,Spark Plug Issue
Car,Petrol,BS6,0.87,572,0.16,0.009,0.46,0.71,Fuel Injector Issue
Car,Petrol,BS4,0.76,510,0.16,0.018,0.35,0.88,Fuel Injector Issue
Car,Petrol,BS4,0.44,250,0.09,0.004,0.35,1.17,DPF Clogging
Car,Petrol,BS4,0.44,272,0.24,0.022,0.47,0.88,Injector Problem
Car,Diesel,BS4,0.22,126,0.03,0.002,0.47,1.0,Normal
Car,Petrol,BS6,0.48,362,0.2,0.013,0.69,1.07,DPF Clogging
Car,Diesel,BS4,0.7,686,0.15,0.003,0.71,1.06,Engine Misfire
Car,Diesel,BS4,0.79,584,0.16,0.018,0.41,0.7,Fuel Injector Issue
Car,Diesel,BS4,0.5,546,0.09,0.002,0.51,1.18,Engine Misfire
Car,Diesel,BS4,0.56,225,0.08,0.005,0.76,1.07,DPF Clogging
Car,Diesel,BS6,0.61,430,0.14,0.022,0.45,0.96,Turbocharger Issue
Car,Petrol,BS4,0.92,568,0.14,0.005,0.28,0.8,Rich Fuel Mixture
Car,Petrol,BS6,0.34,692,0.08,0.006,0.57,1.2,Spark Plug Issue
Car,Diesel,BS6,0.6,293,0.22,0.024,0.7,0.92,Injector Problem
Car,Diesel,BS4,0.57,381,0.2,0.011,0.72,1.05,Injector Problem
Car,Diesel,BS4,0.76,478,0.18,0.005,0.27,0.8,Rich Fuel Mixture
Car,Diesel,BS6,0.38,82,0.03,0.001,0.39,1.03,Normal
Car,Petrol,BS4,0.58,285,0.15,0.007,0.6,1.2,EGR Valve Problem
Car,Diesel,BS6,0.81,410,0.16,0.018,0.21,0.8,Rich Fuel Mixture
Car,Diesel,BS6,0.7,395,0.16,0.011,0.45,0.8,Fuel Injector Issue
Car,Diesel,BS4,0.67,420,0.11,0.007,0.49,1.19,DPF Clogging
Car,Petrol,BS4,0.64,464,0.09,0.009,0.8,1.19,Engine Misfire
Car,Petrol,BS6,0.67,443,0.15,0.014,0.56,1.01,Air Filter Clogged
Car,Petrol,BS4,0.79,427,0.08,0.01,0.44,0.8,Fuel Injector Issue
Car,Petrol,BS6,0.67,340,0.09,0.015,0.22,0.81,Rich Fuel Mixture
Car,Petrol,BS4,0.58,487,0.09,0.009,0.72,1.07,Spark Plug Issue
Car,Petrol,BS6,0.55,478,0.18,0.015,0.42,0.95,Rich Fuel Mixture
Car,Petrol,BS6,0.46,223,0.2,0.008,0.58,1.09,DPF Clogging
Car,Petrol,BS4,0.74,302,0.12,0.013,0.21,0.89,Rich Fuel Mixture
Car,Petrol,BS6,0.52,477,0.08,0.01,0.44,0.8,Fuel Injector Issue
Car,Diesel,BS6,0.34,67,0.02,0.002,0.34,0.99,Normal
Car,Petrol,BS4,0.15,91,0.05,0.001,0.38,1.04,Normal
Car,Diesel,BS4,0.62,500,0.16,0.011,0.41,0.86,Fuel Injector Issue
Car,Petrol,BS6,0.77,550,0.14,0.009,0.55,1.2,Spark Plug Issue
Car,Petrol,BS6,0.58,485,0.13,0.017,0.47,1.06,Injector Problem
Car,Petrol,BS4,0.75,398,0.12,0.019,0.28,0.78,Fuel Injector Issue
Car,Petrol,BS4,0.66,326,0.21,0.021,0.73,1.08,Injector Problem
Car,Diesel,BS6,0.68,268,0.18,0.024,0.52,0.85,Turbocharger Issue
Car,Petrol,BS6,0.69,418,0.16,0.023,0.5,0.85,Turbocharger Issue
Car,Diesel,BS4,0.42,337,0.2,0.015,0.5,1.05,Injector Problem
Car,Petrol,BS6,0.51,343,0.18,0.006,0.21,0.83,Rich Fuel Mixture
Car,Petrol,BS4,0.69,460,0.15,0.011,0.55,1.0,Turbocharger Issue
Car,Diesel,BS6,0.52,225,0.08,0.008,0.57,1.04,DPF Clogging
Car,Petrol,BS4,0.84,521,0.15,0.012,0.38,0.71,Fuel Injector Issue
Car,Diesel,BS4,0.21,175,0.02,0.002,0.67,1.01,Normal
Car,Diesel,BS4,0.35,100,0.03,0.003,0.37,1.03,Normal
Car,Diesel,BS6,0.45,586,0.05,0.007,0.89,1.28,Spark Plug Issue
Car,Petrol,BS6,0.88,376,0.15,0.01,0.52,0.86,Rich Fuel Mixture
Car,Diesel,BS6,0.85,418,0.15,0.008,0.36,0.76,Fuel Injector Issue
Car,Diesel,BS4,0.67,449,0.16,0.025,0.62,0.97,Injector Problem
Car,Diesel,BS4,0.43,259,0.18,0.023,0.47,1.03,Turbocharger Issue
Car,Petrol,BS6,0.49,672,0.1,0.009,0.82,1.08,Engine Misfire
Car,Petrol,BS4,0.61,343,0.12,0.007,0.43,1.01,EGR Valve Problem
Car,Petrol,BS6,0.52,322,0.17,0.017,0.51,1.03,Turbocharger Issue
Car,Petrol,BS4,0.3,193,0.04,0.002,0.31,0.98,Normal
Car,Diesel,BS4,0.67,384,0.13,0.012,0.41,0.85,Fuel Injector Issue
Car,Petrol,BS6,0.6,382,0.12,0.009,0.33,0.72,Rich Fuel Mixture
Car,Diesel,BS6,0.48,220,0.18,0.011,0.54,1.08,EGR Valve Problem
Car,Diesel,BS4,0.78,474,0.13,0.004,0.86,1.2,Spark Plug Issue
Car,Diesel,BS6,0.63,354,0.14,0.007,0.27,0.89,Fuel Injector Issue
Car,Diesel,BS4,0.5,257,0.15,0.011,0.46,0.98,Air Filter Clogged
Car,Petrol,BS4,0.24,107,0.05,0.004,0.52,0.98,Normal
Car,Petrol,BS6,0.68,418,0.2,0.022,0.54,1.02,Injector Problem
Car,Petrol,BS6,0.33,552,0.09,0.004,0.6,1.15,Spark Plug Issue
Car,Petrol,BS6,0.16,164,0.06,0.004,0.63,0.98,Normal
Car,Diesel,BS4,0.49,329,0.24,0.018,0.6,1.07,Injector Problem
Car,Diesel,BS4,0.64,355,0.19,0.022,0.51,0.92,Turbocharger Issue
Car,Petrol,BS4,0.44,335,0.12,0.004,0.33,0.91,Air Filter Clogged
Car,Petrol,BS4,0.78,684,0.1,0.002,0.65,1.16,Engine Misfire
Car,Diesel,BS4,0.18,145,0.04,0.003,0.42,1.01,Normal
Car,Petrol,BS6,0.41,347,0.2,0.014,0.42,1.13,DPF Clogging
Car,Petrol,BS6,0.61,394,0.14,0.011,0.3,0.88,Fuel Injector Issue
Car,Petrol,BS4,0.68,369,0.16,0.014,0.58,0.96,DPF Clogging
Car,Petrol,BS4,0.67,689,0.09,0.005,0.85,1.19,Engine Misfire
Car,Diesel,BS4,0.47,405,0.11,0.018,0.55,0.87,Turbocharger Issue
Car,Petrol,BS6,0.54,446,0.16,0.009,0.67,0.91,Air Filter Clogged
Car,Petrol,BS6,0.62,427,0.1,0.02,0.3,0.8,Fuel Injector Issue
Car,Diesel,BS6,0.57,670,0.15,0.002,0.59,1.2,Spark Plug Issue
Car,Petrol,BS6,0.72,311,0.16,0.011,0.39,0.93,Fuel Injector Issue
Car,Diesel,BS6,0.73,300,0.11,0.005,0.37,0.88,Fuel Injector Issue
Car,Petrol,BS4,0.57,273,0.19,0.014,0.61,1.12,EGR Valve Problem
Car,Diesel,BS4,0.6,558,0.15,0.016,0.21,0.8,Rich Fuel Mixture
Car,Diesel,BS6,0.77,678,0.08,0.006,0.61,1.02,Spark Plug Issue
Car,Diesel,BS4,0.77,580,0.14,0.018,0.3,0.82,Fuel Injector Issue
Car,Diesel,BS6,0.47,445,0.06,0.004,0.83,1.16,Engine Misfire
Car,Petrol,BS6,0.56,232,0.11,0.007,0.78,1.0,DPF Clogging
Car,Petrol,BS6,0.61,410,0.18,0.01,0.48,0.9,Turbocharger Issue
Car,Petrol,BS6,0.63,211,0.17,0.004,0.38,1.11,DPF Clogging
Car,Petrol,BS6,0.49,200,0.19,0.004,0.42,1.15,EGR Valve Problem
Car,Diesel,BS6,0.73,402,0.12,0.003,0.69,1.18,Spark Plug Issue
Car,Petrol,BS4,0.68,329,0.17,0.01,0.51,0.94,DPF Clogging
Car,Diesel,BS6,0.64,441,0.15,0.008,0.51,1.0,EGR Valve Problem
Car,Diesel,BS6,0.64,252,0.1,0.007,0.32,1.14,Air Filter Clogged
Car,Petrol,BS4,0.73,599,0.16,0.012,0.44,0.8,Rich Fuel Mixture
Car,Diesel,BS6,0.59,412,0.2,0.012,0.73,0.96,Injector Problem
Car,Diesel,BS6,0.83,344,0.11,0.015,0.38,0.91,Rich Fuel Mixture
